souce_x,mu_1,mu_2,mu_3,mu_4,td_1,td_2,td_3,td_4
1.4478078568587525e-05,6.387132,9.286709,-7.316913,-5.5598410000000005,0.0,0.1221525792,0.1921633632,0.25680456
1.4599380443326351e-05,6.379913,9.3095,-7.335172999999998,-5.557171,0.0,0.1231624224,0.1925431776,0.2577043296
1.4720682318065185e-05,6.372715,9.332491,-7.353639999999999,-5.5545160000000005,0.0,0.12417192,0.192924288,0.2586048768
1.4841984192804015e-05,6.3655370000000016,9.355685,-7.372314999999999,-5.551875,0.0,0.125181072,0.1933067808,0.2595062016
1.4963286067542844e-05,6.35838,9.379085,-7.391203999999999,-5.549248,0.0,0.126189792,0.19369065600000002,0.2604082176
1.5084587942281674e-05,6.351243,9.402695,-7.4103080000000014,-5.546635,0.0,0.1271981664,0.19407574079999998,0.2613110112
1.5205889817020504e-05,6.344126,9.426518,-7.429633,-5.544036,0.0,0.1282061088,0.1944622944,0.2622145824
1.5327191691759336e-05,6.337028,9.450558,-7.44918,-5.54145,0.0,0.129213792,0.1948500576,0.26311884480000003
1.5448493566498166e-05,6.329951,9.474819,-7.468955,-5.538878,0.0,0.1302209568,0.1952392896,0.26402388479999994
1.5569795441237e-05,6.322893,9.499304,-7.48896,-5.5363190000000015,0.0,0.131227776,0.1956297312,0.26492961600000003
1.569109731597583e-05,6.315855,9.524016,-7.5092,-5.533774,0.0,0.13223424960000002,0.1960216416,0.26583621119999995
1.5812399190714654e-05,6.308836,9.548961,-7.529679,-5.5312410000000005,0.0,0.1332402912,0.196414848,0.2667434112
1.5933701065453487e-05,6.301837,9.574142,-7.5504,-5.528721,0.0,0.13424590079999998,0.1968094368,0.2676514752
1.6055002940192318e-05,6.294857,9.599562,-7.571368,-5.526214,0.0,0.13525116480000002,0.19720540800000005,0.268560144
1.6176304814931148e-05,6.287896,9.625227,-7.592587,-5.523719,0.0,0.13625591039999999,0.1976026752,0.26946967679999995
1.629760668966998e-05,6.280954,9.65114,-7.614061,-5.521237,0.0,0.1372603104,0.1980014112,0.27037990079999996
1.6418908564408815e-05,6.274032,9.677306,-7.635795,-5.518767,0.0,0.1382642784,0.1984014432,0.27129081600000005
1.6540210439147642e-05,6.267128,9.703729,-7.657792999999999,-5.516309,0.0,0.1392678144,0.19880285760000002,0.27220242240000003
1.6661512313886472e-05,6.260243,9.730415,-7.680060000000001,-5.513863,0.0,0.1402709184,0.1992057408,0.2731148064
1.6782814188625302e-05,6.253377,9.757366,-7.702601,-5.511429,0.0,0.14127359039999998,0.19960992,0.274027968
1.6904116063364133e-05,6.246529,9.78459,-7.72542,-5.509007,0.0,0.1422758304,0.2000154816,0.27494182079999996
1.7025417938102966e-05,6.2397,9.81209,-7.748523,-5.506596,0.0,0.1432776384,0.200422512,0.27585636480000003
1.7146719812841793e-05,6.232889,9.839871,-7.771914999999999,-5.504196,0.0,0.1442790144,0.2008309248,0.27677159999999995
1.7268021687580623e-05,6.226097,9.867939,-7.795601,-5.5018080000000005,0.0,0.145279872,0.20124072,0.27768761280000004
1.7389323562319454e-05,6.219322,9.896299,-7.819586,-5.49943,0.0,0.1462802976,0.2016518976,0.27860431680000003
1.7510625437058287e-05,6.212566000000002,9.924957,-7.843876,-5.497064,0.0,0.1472802048,0.20206454399999998,0.27952171200000003
1.7631927311797117e-05,6.205828,9.953918,-7.868477,-5.494708,0.0,0.1482797664,0.2024785728,0.2804397984
