source_x,mu_1,mu_2,mu_3,mu_4,td_1,td_2,td_3,td_4,I_2,I_3,I_4
3.5545454545454545e-05,5.088223999999999,16.17782,-9.240777,-9.240777,0.0,0.3484613952,0.3776471424,0.3776471424,3.1794630110624067,1.8161104935631767,1.8161104935631767
3.615151515151515e-05,5.062917,16.53712,-9.408014999999999,-9.408014999999999,0.0,0.3544027776,0.3822787872,0.3822787872,3.2663225567395244,1.8582202710413778,1.8582202710413778
3.6757575757575765e-05,5.037921,16.91384,-9.584125,-9.584125,0.0,0.36034415999999997,0.38693963519999997,0.38693963519999997,3.3573055234490576,1.9023968418718755,1.9023968418718755
3.736363636363636e-05,5.013230999999999,17.309279999999998,-9.769753,-9.769753,0.0,0.3662855424,0.39162959999999997,0.39162959999999997,3.4527194138869723,1.9487937021054886,1.9487937021054886
3.796969696969697e-05,4.98884,17.72488,-9.965613000000001,-9.965613000000001,0.0,0.37222683840000004,0.396348768,0.396348768,3.552906086384811,1.9975812012411707,1.9975812012411707
3.857575757575757e-05,4.964745,18.16221,-10.17249,-10.17249,0.0,0.37816822079999995,0.4010972256,0.4010972256,3.6582362236126937,2.0489451119846036,2.0489451119846036
3.918181818181818e-05,4.940939,18.62302,-10.39126,-10.39126,0.0,0.38410960320000004,0.40587505920000005,0.40587505920000005,3.769125666194219,2.1030941689423814,2.1030941689423814
3.978787878787879e-05,4.9174169999999995,19.109270000000002,-10.6229,-10.6229,0.0,0.39005098559999996,0.41068235519999996,0.41068235519999996,3.886038137501864,2.160260152840404,2.160260152840404
4.039393939393939e-05,4.894174,19.62311,-10.86847,-10.86847,0.0,0.39599236800000004,0.4155190272,0.4155190272,4.0094835206104245,2.220695463626753,2.220695463626753
4.1e-05,4.871205000000001,20.16696,-11.12919,-11.12919,0.0,0.40193375039999996,0.42038524799999993,0.42038524799999993,4.140035165836789,2.2846893119874854,2.2846893119874854
4.160606060606061e-05,4.8485059999999995,20.74353,-11.406410000000001,-11.406410000000001,0.0,0.40787513280000004,0.425281104,0.425281104,4.278334398266188,2.3525617994491506,2.3525617994491506
4.2212121212121214e-05,4.826071,21.35586,-11.70165,-11.70165,0.0,0.41381651519999996,0.4302065952,0.4302065952,4.4251027388532,2.4246742329319235,2.4246742329319235
4.281818181818182e-05,4.803897,22.00739,-12.016630000000001,-12.016630000000001,0.0,0.4197578112,0.435161808,0.435161808,4.5811535925936795,2.5014337318223103,2.5014337318223103
4.3424242424242427e-05,4.781978,22.70201,-12.35328,-12.35328,0.0,0.4256991936,0.44014682879999995,0.44014682879999995,4.747409962990211,2.5832992121670157,2.5832992121670157
4.403030303030303e-05,4.76031,23.444129999999998,-12.71381,-12.71381,0.0,0.431640576,0.445161744,0.445161744,4.924916654587621,2.670794549094492,2.670794549094492
4.463636363636364e-05,4.738889,24.23881,-13.10075,-13.10075,0.0,0.4375819584,0.4502065536,0.4502065536,5.114871861316018,2.7645192786748116,2.7645192786748116
4.5242424242424236e-05,4.717711,25.091820000000002,-13.516979999999998,-13.516979999999998,0.0,0.44352334080000005,0.455281344,0.455281344,5.318642875750549,2.865156428615487,2.865156428615487
