source_x,source_y,mu_1,mu_2,mu_3,mu_4,td_1,td_2,td_3,td_4
2.064486493975495e-05,1.947102205819461e-05,5.9769,0.0,0.0,-4.748312,0.0,0.0,0.0,0.3675917376
1.1364707144751943e-05,9.420701252681023e-06,6.500174,9.21188,-7.577842,-5.336443,0.0,0.11024493120000001,0.17657619840000002,0.2609799264
4.625137660587475e-06,4.034630962568508e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5635958167346228e-05,2.0050803301077322e-05,5.671801,0.0,0.0,-4.828235,0.0,0.0,0.0,0.4013291232
1.111904651411289e-05,2.5880173467059947e-05,6.939174,0.0,0.0,-4.199188,0.0,0.0,0.0,0.35057862720000005
1.238353849852684e-05,1.9576665185490704e-05,6.613551,0.0,0.0,-4.594176,0.0,0.0,0.0,0.320764752
2.475644794598189e-05,1.452155574098186e-05,5.664002,0.0,0.0,-5.288688,0.0,0.0,0.0,0.36719135999999997
1.9656393087740715e-05,2.268636260263583e-05,6.101571,0.0,0.0,-4.501601,0.0,0.0,0.0,0.37943121599999996
1.1423052165533517e-05,1.690874115484473e-05,6.631202,0.0,0.0,-4.761413,0.0,0.0,0.0,0.3007040544
2.2262920883259565e-05,1.602478758382247e-05,5.826667,0.0,0.0,-5.066752,0.0,0.0,0.0,0.359207136
1.858379857354666e-05,2.2224582834664594e-05,6.171435,0.0,0.0,-4.513752,0.0,0.0,0.0,0.37059690240000004
2.930263793856587e-05,8.095106477378677e-06,5.384613,0.0,0.0,-6.309303,0.0,0.0,0.0,0.3664643904
2.6235591108906186e-05,4.807422496175054e-06,5.527452,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.677662054252341e-06,1.5287791007030158e-05,0.0,0.0,-8.058699,-4.797884,0.0,0.0,0.1122225408,0.251127216
2.9566356928577675e-06,2.131627893141666e-05,0.0,0.0,-9.16338,-4.413377,0.0,0.0,0.0883540224,0.2821373856
2.485452866542363e-05,1.3466906039309928e-05,5.649251,0.0,0.0,-5.39679,0.0,0.0,0.0,0.3625436448
2.0028673258083675e-05,1.9684322091911166e-05,6.022091,0.0,0.0,-4.71896,0.0,0.0,0.0,0.365067216
2.0335731803949857e-05,1.9674876754634817e-06,5.84724,10.63476,0.0,0.0,0.0,0.19925827200000001,0.0,0.0
6.456640069566502e-06,1.6548258995168775e-05,7.09048,8.884809,-8.443646,-4.731019,0.0,0.06128757216,0.12244080959999999,0.272267568
